"Filename","Google_Photos_Link","GPSLatitude","GPSLongitude","Survey_run"
"IMG_9962_A","https://photos.google.com/photo/AF1QipMMc5gaQE2E1pc9RlauZbhCP29oFZMqRaSGthzc",55.9015,-4.2943,"A"
"IMG_9963_A","https://photos.google.com/photo/AF1QipM6-0Wgx5LhBrOS7p9B1BO3vnZdx8FVn_FkrBTe",55.9016,-4.2948,"A"
"IMG_9964_A","https://photos.google.com/photo/AF1QipPjxOgfO51Vzbt2o9L8NqeZC4VUGIb61AACLm6l",55.9016,-4.2947,"A"
"IMG_9965_A","https://photos.google.com/photo/AF1QipMYjrXNhzGSjInjO_3VotAWeCNR30WCIpFKUTWx",55.9017,-4.2952,"A"
"IMG_9966_A","https://photos.google.com/photo/AF1QipNeYZuizJDn_bqfq4LZg3rHFzza2hVDftxOCBYK",55.9019,-4.2954,"A"
"IMG_9967_A","https://photos.google.com/photo/AF1QipMLDMJGR7dSKghJw4cUTNMaBJfjfJJNddjSlJZr",55.9019,-4.2956,"A"
"IMG_9968_A","https://photos.google.com/photo/AF1QipORNT522gpsv0BTYFmgUXkFa-FZoar6hZAjp85X",55.9018,-4.2961,"A"
"IMG_9969_A","https://photos.google.com/photo/AF1QipPyoTbNXPCXm-kRszcNJeiSRWJyBrYzscKL9Wg5",55.9016,-4.2964,"A"
"IMG_9970_A","https://photos.google.com/photo/AF1QipPh0TmC0mjyPpp8_yWf0QGDqWQgzj-6Z2Ct7qHX",55.9012,-4.2958,"A"
"IMG_9971_A","https://photos.google.com/photo/AF1QipOqR4wwVrPOwZ9urjDXAstSPNUK-3iKtA8sQSGF",55.9013,-4.295,"A"
"IMG_9972_A","https://photos.google.com/photo/AF1QipMTdDRHPc36a3ZSeL9yrULTfdUrqh9HNv_AUHQz",55.9005,-4.2938,"A"
"IMG_9973_A","https://photos.google.com/photo/AF1QipP_r2J1qMB4wjJ4DFNammtge8_IPj5Agl_rSIDH",55.9004,-4.2941,"A"
"IMG_9974_A","https://photos.google.com/photo/AF1QipPLTNwq2ZFw7HmlVDaEfV7h5-RV1D1Oa_zUDijH",55.9006,-4.2946,"A"
"IMG_9975_A","https://photos.google.com/photo/AF1QipOknz7m6Agp6IcOaiRDsRxHeKqSXu2eUocMB1L_",55.9008,-4.2966,"A"
"IMG_9976_A","https://photos.google.com/photo/AF1QipMruqP-tI0Y0xAwsmt-2AE4v0mOFu1Eyuy1jD7Z",55.9021,-4.2962,"A"
"IMG_9977_A","https://photos.google.com/photo/AF1QipPNp2L-jDA3lda_XODvSqtyHyxk0iNfWXaodquP",55.902,-4.2963,"A"
"IMG_9978_A","https://photos.google.com/photo/AF1QipOQl5AJ4-rfTC3WkGWgl7i8p8E5h3x4gTBEDyiQ",55.9018,-4.2943,"A"
"IMG_9979_A","https://photos.google.com/photo/AF1QipNxbYIXlaT_4LucEt9EtSY0Ow4xnMmNJ8-0LaKc",55.9019,-4.2943,"A"
"IMG_9980_A","https://photos.google.com/photo/AF1QipNfoqZxZlJSJ8OG0ykgg9-iI4uC0QlRfh8hfFj6",55.9019,-4.2943,"A"
"IMG_9981_A","https://photos.google.com/photo/AF1QipMILZK-7iioraKM3HDfqRDjyOiTvnw63j0kesb6",55.9016,-4.2937,"A"
"IMG_9982_A","https://photos.google.com/photo/AF1QipPtv-tWWwODv6HYXVGKJxX_XXQusOpK0nQMzkuA",55.9016,-4.2936,"A"
"IMG_0121_B","https://photos.google.com/photo/AF1QipOMU6ETU0opoyANNRjfYeXrWt_1Sh_f3CIaSeXV",55.9021,-4.293,"B"
"IMG_0122_B","https://photos.google.com/photo/AF1QipO5qwGp0qKTids9JsVrn6IrxtDSVOKLzbXmCW54",55.9019,-4.2931,"B"
"IMG_0123_B","https://photos.google.com/photo/AF1QipN_SGBbD0Cld25gDuUcJ8-gYrh3_Z8n9Hc0ytye",55.9021,-4.2929,"B"
"IMG_0124_B","https://photos.google.com/photo/AF1QipM0ZOHTiA09HTPs54CGlHWY9DRmXVnWcbypHT5L",55.9021,-4.2927,"B"
"IMG_0125_B","https://photos.google.com/photo/AF1QipMylKDKtaRQQz9IB7f4VqBVGh1mXdd5mjBvpDn6",55.9023,-4.2926,"B"
"IMG_0126_B","https://photos.google.com/photo/AF1QipM3qPU9-42ZB-LVxLg8elij9UGcryv5b_jGQLK_",55.9023,-4.2926,"B"
