photo_filename,Location,label_number,box_type,Photo_src
IMG_0038,Caldercuilt Road,,other,Photos/JPEGs/IMG_0038_D.jpg
IMG_0039,Spence Street,,3,Photos/JPEGs/IMG_0039_D.jpg
IMG_0040,Maryhill Road,,3,Photos/JPEGs/IMG_0040_D.jpg
IMG_0041,Maryhill Road,,other,Photos/JPEGs/IMG_0041_D.jpg
IMG_0042,Maryhill Road,,other,Photos/JPEGs/IMG_0042_D.jpg
IMG_0043,Caldercuilt Road/Maryhill Road,,other,Photos/JPEGs/IMG_0043_D.jpg
IMG_0044,Crosbie Street/Dollar Terrace,,other,Photos/JPEGs/IMG_0044_D.jpg
IMG_0045,Dungoyne Street,,other,Photos/JPEGs/IMG_0045_D.jpg
IMG_0046,Barra Street,,3,Photos/JPEGs/IMG_0046_D.jpg
IMG_0047,Crosbie Street/Barra Street,,other,Photos/JPEGs/IMG_0047_D.jpg
IMG_0048,Crosbie Street,GLA7 PN101 SN3,1,Photos/JPEGs/IMG_0048_D.jpg
IMG_0049,Crosbie Street,,other,Photos/JPEGs/IMG_0049_D.jpg
IMG_0050,Crosbie Street,,2,Photos/JPEGs/IMG_0050_D.jpg
IMG_0052,Caldercuilt Road / Falcon Terrace,,3,Photos/JPEGs/IMG_0052_D.jpg
IMG_0053,Caldercuilt Road,,other,Photos/JPEGs/IMG_0053_D.jpg
IMG_0054,Caldercuilt Road,GLA8 PN101 SN2,1,Photos/JPEGs/IMG_0054_D.jpg
IMG_0055,Rosedale Gardens,,2,Photos/JPEGs/IMG_0055_D.jpg
IMG_0056,Rosedale Gardens,GLA8 PN101 SN1,1,Photos/JPEGs/IMG_0056_D.jpg
IMG_0059,Caldercuilt Road,GLA 8 PN 101,1,Photos/JPEGs/IMG_0059_D.jpg
IMG_0060,Ferndale Place,,2,Photos/JPEGs/IMG_0060_D.jpg
IMG_0061,Ferndale Court,,other,Photos/JPEGs/IMG_0061_D.jpg
IMG_0062,Ferndale Court/Rothes Drive,GLA8 PN103 SN1,1,Photos/JPEGs/IMG_0062_D.jpg
IMG_0063,Rothes Drive,,other,Photos/JPEGs/IMG_0063_D.jpg
IMG_0064,Sunningdale Road / Arrochar Court,,other,Photos/JPEGs/IMG_0064_D.jpg
IMG_0065,Sunningdale Road / Arrochar Court,,2,Photos/JPEGs/IMG_0065_D.jpg
IMG_0066,Fairhaven Road,GLA8 PN104 SN5,1,Photos/JPEGs/IMG_0066_D.jpg
IMG_0067,Whitecraigs Place,,3,Photos/JPEGs/IMG_0067_D.jpg
IMG_0068,Fairhaven Road,,3,Photos/JPEGs/IMG_0068_D.jpg
IMG_0069,Sunningdale Road / Arrochar Street,GLA8 PN103 SN11,1,Photos/JPEGs/IMG_0069_D.jpg
IMG_0070,Arrochar Street,,3,Photos/JPEGs/IMG_0070_D.jpg
IMG_0071,Arrochar Street,GLA8 PN104 SN1,1,Photos/JPEGs/IMG_0071_D.jpg
IMG_0072,Arrochar Street,36,other,Photos/JPEGs/IMG_0072_D.jpg
IMG_0073,Arrochar Street,,other,Photos/JPEGs/IMG_0073_D.jpg
IMG_0074,Broughton Road,,other,Photos/JPEGs/IMG_0074_D.jpg
IMG_0075,Brigham Place / Broughton Road,,2,Photos/JPEGs/IMG_0075_D.jpg
IMG_0076,Broughton Road,GLA8 PN104 SN8,1,Photos/JPEGs/IMG_0076_D.jpg
IMG_0077,Broughton Road / Broughton Drive,,2,Photos/JPEGs/IMG_0077_D.jpg
IMG_0078,Broughton Road,GLA8 PN104 SN9,1,Photos/JPEGs/IMG_0078_D.jpg
IMG_0079,Broughton Road / Lynne Drive,,2,Photos/JPEGs/IMG_0079_D.jpg
IMG_0080,Broughton Road,,other,Photos/JPEGs/IMG_0080_D.jpg
IMG_0081,Broughton Road,,other,Photos/JPEGs/IMG_0081_D.jpg
IMG_0082,Broughton Road / Dunsyre Place,GLA8 PN104 SN10,1,Photos/JPEGs/IMG_0082_D.jpg
IMG_0083,Broughton Road,,other,Photos/JPEGs/IMG_0083_D.jpg
IMG_0084,Broughton Road,,3,Photos/JPEGs/IMG_0084_D.jpg
IMG_0085,Newstead Gardens,GLA8 PN107 SN10,1,Photos/JPEGs/IMG_0085_D.jpg
