"Photo","Location","label_number","box_type","Photo_src","GPSLatitude","GPSLongitude","Survey_run","Google_Photos_Link"
"IMG_0038_D","Caldercuilt Road","","other","Photos/JPEGs/IMG_0038_D.jpg",55.9006,-4.2977,"D","https://photos.google.com/photo/AF1QipPOBgb4Xx6HSNaeBWhxqaTmTKC1DAuC7v0wjerM"
"IMG_0039_D","Spence Street","","3","Photos/JPEGs/IMG_0039_D.jpg",55.9009,-4.3013,"D","https://photos.google.com/photo/AF1QipMx32rs3_DcCeIru2SYIa1fLhcwUwthZCiqJiv7"
"IMG_0040_D","Maryhill Road","","3","Photos/JPEGs/IMG_0040_D.jpg",55.8984,-4.3014,"D","https://photos.google.com/photo/AF1QipPY7SWoWZg85osIz3TIWFfeB6FboDvAC7gCEGrw"
"IMG_0041_D","Maryhill Road","","other","Photos/JPEGs/IMG_0041_D.jpg",55.8982,-4.3007,"D","https://photos.google.com/photo/AF1QipNz2OCevwYzWndOHqhQrEi3UoSPSnfBjasW5eV1"
"IMG_0042_D","Maryhill Road","","other","Photos/JPEGs/IMG_0042_D.jpg",55.8982,-4.3005,"D","https://photos.google.com/photo/AF1QipOYMHqEC-3ge5WZwcNUpj_4rEWu9SGeBaNJqm8u"
"IMG_0043_D","Caldercuilt Road/Maryhill Road","","other","Photos/JPEGs/IMG_0043_D.jpg",55.8981,-4.3005,"D","https://photos.google.com/photo/AF1QipM0nmtPV92GDJvVSVIPqjTFFVR9gNg3V4a2gPGi"
"IMG_0044_D","Crosbie Street/Dollar Terrace","","other","Photos/JPEGs/IMG_0044_D.jpg",55.8986,-4.2999,"D","https://photos.google.com/photo/AF1QipNOOCN3B8o9QmhSGs24xzmGQ5JMl3kdZvIGkAzw"
"IMG_0045_D","Dungoyne Street","","other","Photos/JPEGs/IMG_0045_D.jpg",55.8992,-4.2997,"D","https://photos.google.com/photo/AF1QipNXbDdN0FBaJb2Dsk43rjDyhLD1I-1fJ8EGCX6l"
"IMG_0046_D","Barra Street","","3","Photos/JPEGs/IMG_0046_D.jpg",55.8996,-4.2989,"D","https://photos.google.com/photo/AF1QipPqBxV-o3NSKdBc1vOuuFXQphKaM0er3cvPV7hi"
"IMG_0047_D","Crosbie Street/Barra Street","","other","Photos/JPEGs/IMG_0047_D.jpg",55.8996,-4.2996,"D","https://photos.google.com/photo/AF1QipMmgbaOLFxmXrkm0SvNi0BUgL4ckzheCwNEQ8dL"
"IMG_0048_D","Crosbie Street","GLA7 PN101 SN3","1","Photos/JPEGs/IMG_0048_D.jpg",55.8998,-4.2998,"D","https://photos.google.com/photo/AF1QipMtttmTlAxmn03EbQZALA7hMRHHL54buWGJKTTe"
"IMG_0049_D","Crosbie Street","","other","Photos/JPEGs/IMG_0049_D.jpg",55.9,-4.2997,"D","https://photos.google.com/photo/AF1QipPbXCPiL_UOo2tHssgMxlZmkKme8ikJaAe8CsZu"
"IMG_0050_D","Crosbie Street","","2","Photos/JPEGs/IMG_0050_D.jpg",55.9002,-4.2998,"D","https://photos.google.com/photo/AF1QipMMfoMA_V57WSDN6bvhwNXkjLIZZ4fKNCOgORuz"
